Package	Version	RemoteSha
abind	1.4-8	
affy	1.87.0	
affyio	1.79.0	
AnnotationDbi	1.71.1	
AnnotationFilter	1.33.0	
askpass	1.2.1	
assertthat	0.2.1	
backports	1.5.0	
base64enc	0.1-3	
BH	1.87.0-1	
Biobase	2.69.0	
BiocBaseUtils	1.11.2	
BiocGenerics	0.55.1	
BiocIO	1.19.0	
BiocManager	1.30.26	
BiocParallel	1.43.4	
BiocStyle	2.37.1	
Biostrings	2.77.2	
bit	4.6.0	
bit64	4.6.0-1	
bitops	1.0-9	
blob	1.2.4	
bookdown	0.45	
brio	1.1.5	
broom	1.0.10	
BSgenome	1.77.1	
bslib	0.9.0	
ca	0.71.1	
cachem	1.1.0	
calibrate	1.7.7	
callr	3.7.6	
CAMERA	1.65.1	
caret	7.0-1	
caTools	1.18.3	
cellranger	1.1.0	
checkmate	2.3.3	
circlize	0.4.16	
Ckmeans.1d.dp	4.3.5	
class	7.3-23	
classInt	0.4-11	
cli	3.6.5	
clipr	0.8.0	
cliqueMS	1.7.1	cb569e0b78ce0fa4254f1393874762bed08fa855
clock	0.7.3	
clue	0.3-66	
cluster	2.1.8.1	
codetools	0.2-20	
colorspace	2.1-2	
combinat	0.0-8	
commonmark	2.0.0	
conflicted	1.2.0	
cpp11	0.5.2	
crayon	1.5.3	
crosstalk	1.2.2	
curl	7.0.0	
data.table	1.17.8	
DBI	1.2.3	
dbplyr	2.5.1	
dbscan	1.2.3	
DelayedArray	0.35.2	
dendextend	1.19.1	
desc	1.4.3	
diagram	1.6.5	
diffobj	0.3.6	
digest	0.6.37	
docopt	0.7.2	
doParallel	1.0.17	
dplyr	1.1.4	
DT	0.34.0	
dtplyr	1.3.2	
dynamicTreeCut	1.63-1	
e1071	1.7-16	
egg	0.4.5	
enviPat	2.6	
enviPick	1.94	adaf60ac36c5ea62af55f825636d256f749cc86c
estimability	1.5.1	
evaluate	1.0.5	
farver	2.1.2	
fastAdaboost	1.0.0	f331ff8ccfe2e7f318448a29bc72af646dfaf2c1
fastcluster	1.3.0	
fastmap	1.2.0	
ff	4.5.2	
fingerprint	3.5.7	
flexdashboard	0.6.2	
fontawesome	0.5.3	
forcats	1.0.1	
foreach	1.5.2	
foreign	0.8-90	
formatR	1.14	
Formula	1.2-5	
fs	1.6.6	
fst	0.9.8	
fstcore	0.10.0	
futile.logger	1.4.3	
futile.options	1.0.1	
future	1.67.0	
future.apply	1.20.0	
GA	3.2.4	
gargle	1.6.0	
gclus	1.3.3	
generics	0.1.4	
GenomeInfoDb	1.45.9	
GenomeInfoDbData	1.2.15	bb65b130376349472eb1ee8a734352f0a50980bb
GenomicAlignments	1.45.2	
GenomicFeatures	1.61.6	
GenomicRanges	1.61.1	
getPass	0.2-4	
ggplot2	4.0.0	
ggrepel	0.9.6	
GlobalOptions	0.1.2	
globals	0.18.0	
glue	1.8.0	
googledrive	2.1.2	
googlesheets4	1.1.2	
gower	1.0.2	
gplots	3.2.0	
graph	1.87.0	
gridExtra	2.3	
gtable	0.3.6	
gtools	3.9.5	
hardhat	1.4.2	
haven	2.5.5	
heatmaply	1.6.0	
highr	0.11	
Hmisc	5.2-4	
hms	1.1.4	
htmlTable	2.4.3	
