Package	Version	RemoteSha
abind	1.4-5	
affy	1.78.2	
affyio	1.70.0	
askpass	1.2.0	
assertthat	0.2.1	
backports	1.4.1	
base64enc	0.1-3	
BH	1.81.0-1	
Biobase	2.60.0	
BiocBaseUtils	1.2.0	
BiocGenerics	0.46.0	
BiocManager	1.30.22	
BiocParallel	1.34.2	
BiocStyle	2.28.1	
bit	4.0.5	
bit64	4.0.5	
bitops	1.0-7	
blob	1.2.4	
bookdown	0.35	
broom	1.0.5	
bslib	0.5.1	
ca	0.71.1	
cachem	1.0.8	
calibrate	1.7.7	
callr	3.7.3	
CAMERA	1.56.0	
caret	6.0-94	
caTools	1.18.2	
cellranger	1.1.0	
checkmate	2.2.0	
circlize	0.4.15	
Ckmeans.1d.dp	4.3.5	
class	7.3-22	
classInt	0.4-10	
cli	3.6.1	
clipr	0.8.0	
cliqueMS	1.7.1	cb569e0b78ce0fa4254f1393874762bed08fa855
clock	0.7.0	
clue	0.3-64	
cluster	2.1.4	
codetools	0.2-19	
colorspace	2.1-0	
combinat	0.0-8	
commonmark	1.9.0	
conflicted	1.2.0	
cpp11	0.4.6	
crayon	1.5.2	
crosstalk	1.2.0	
curl	5.0.2	
data.table	1.14.8	
data.tree	1.0.0	
DBI	1.1.3	
dbplyr	2.3.3	
dbscan	1.1-11	
DelayedArray	0.26.7	
dendextend	1.17.1	
DEoptimR	1.1-2	
diagram	1.6.5	
digest	0.6.33	
docopt	0.7.1	
doParallel	1.0.17	
dplyr	1.1.3	
DT	0.29	
dtplyr	1.3.1	
dynamicTreeCut	1.63-1	
e1071	1.7-13	
egg	0.4.5	
ellipsis	0.3.2	
enviPat	2.6	
enviPick	1.7	d346b23b1f7dc7a226c4e3a45b74fcc617e19c1b
estimability	1.4.1	
evaluate	0.21	
fansi	1.0.4	
farver	2.1.1	
fastAdaboost	1.0.0	f331ff8ccfe2e7f318448a29bc72af646dfaf2c1
fastcluster	1.2.3	
fastmap	1.1.1	
ff	4.0.9	
fingerprint	3.5.7	
flexdashboard	0.6.2	
fontawesome	0.5.2	
forcats	1.0.0	
foreach	1.5.2	
foreign	0.8-85	
formatR	1.14	
Formula	1.2-5	
fs	1.6.3	
fst	0.9.8	
fstcore	0.9.14	
futile.logger	1.4.3	
futile.options	1.0.1	
future	1.33.0	
future.apply	1.11.0	
GA	3.2.3	
gargle	1.5.2	
gclus	1.3.2	
generics	0.1.3	
GenomeInfoDb	1.36.3	
GenomeInfoDbData	1.2.11	f3111730888a3d83e9465ffa2552003de153bbf2
GenomicRanges	1.52.0	
getPass	0.2-2	
ggplot2	3.4.3	
ggrepel	0.9.3	
GlobalOptions	0.1.2	
globals	0.16.2	
glue	1.6.2	
googledrive	2.1.1	
googlesheets4	1.1.1	
gower	1.0.1	
gplots	3.1.3	
graph	1.78.0	
gridExtra	2.3	
gtable	0.3.4	
gtools	3.9.4	
hardhat	1.3.0	
haven	2.5.3	
heatmaply	1.4.2	
highr	0.10	
Hmisc	5.1-1	
hms	1.1.3	
htmlTable	2.4.1	
htmltools	0.5.6	
htmlwidgets	1.6.2	
httpuv	1.6.11	
httr	1.4.7	
ids	1.0.1	
igraph	1.5.1	
impute	1.74.1	
InterpretMSSpectrum	1.3.3	0731d92accdf5db2a6d7b03c24b2d324b67b1c72
ipred	0.9-14	
IRanges	2.34.1	
isoband	0.2.7	
iterators	1.0.14	
itertools	0.1-3	
jquerylib	0.1.4	
jsonlite	1.8.7	
kableExtra	1.3.4	
kernlab	0.9-32	
KernSmooth	2.23-22	
keys	0.1.1	
klaR	1.7-2	
knitr	1.44	
KPIC	2.4.0	dd0dddb0cac9bc7882eb1a420c82c9713a8aa0ce
labeling	0.4.3	
labelled	2.12.0	
lambda.r	1.2.4	
later	1.3.1	
lattice	0.21-8	
lava	1.7.2.1	
lazyeval	0.2.2	
lifecycle	1.0.3	
limma	3.56.2	
listenv	0.9.0	
lubridate	1.9.2	
magick	2.7.5	
magrittr	2.0.3	
MALDIquant	1.22.1	
MASS	7.3-60	
MassSpecWavelet	1.66.0	
Matrix	1.6-1.1	
MatrixGenerics	1.12.3	
matrixStats	1.0.0	
memoise	2.0.1	
MetaClean	1.0.1	d0ce1bc0b2fe4d17e7e047c8c07c75b81c4e5833
mgcv	1.9-0	
mime	0.12	
miniUI	0.1.1.1	
MLmetrics	1.1.1	
ModelMetrics	1.2.2.2	
modelr	0.1.11	
MsCoreUtils	1.12.0	
MsFeatures	1.8.0	
MSnbase	2.26.0	
MultiAssayExperiment	1.26.0	
MultiDataSet	1.28.0	
multtest	2.56.0	
munsell	0.5.0	
mzID	1.38.0	
mzR	2.34.1	
ncdf4	1.21	
nlme	3.1-163	
nnet	7.3-19	
nontarget	2.2	e30221585182bc66e1f8e1113b2c1103a0f2cb56
nontargetData	1.1	75b2a92cd549f72cc71dfe7b86bd42947d62f2c4
numDeriv	2016.8-1.1	
openssl	2.1.0	
parallelly	1.36.0	
patRoon	2.2.0.9000	88a1da32318b8e45945de6e45bc9f424f372c4f7
pcaMethods	1.92.0	
permute	0.9-7	
pillar	1.9.0	
pkgconfig	2.0.3	
plogr	0.2.0	
plotly	4.10.2	
plotrix	3.8-2	
plyr	1.8.8	
png	0.1-8	
preprocessCore	1.62.1	
prettyunits	1.1.1	
pROC	1.18.4	
processx	3.8.2	
prodlim	2023.08.28	
progress	1.2.2	
progressr	0.14.0	
promises	1.2.1	
ProtGenerics	1.32.0	
proxy	0.4-27	
ps	1.7.5	
purrr	1.0.2	
qap	0.1-2	
qlcMatrix	0.9.7	
qqman	0.1.9	
questionr	0.7.8	
R.cache	0.16.0	
R.methodsS3	1.8.2	
R.oo	1.25.0	
R.utils	2.12.2	
R6	2.5.1	
ragg	1.2.5	
RAMClustR	1.3.1	e005614d808e0ca93c459ec8cc103b87cd5d11fd
randomForest	4.7-1.1	
RANN	2.6.1	
rapidjsonr	1.2.0	
rappdirs	0.3.3	
RBGL	1.76.0	
rbibutils	2.2.15	
rcdk	3.8.1	
rcdklibs	2.8	
RColorBrewer	1.1-3	
Rcpp	1.0.11	
RcppArmadillo	0.12.6.4.0	
RCurl	1.98-1.12	
RDCOMClient	0.95-1	1554833f8659461427a93732119756ae1c25bc32
Rdisop	1.60.0	
Rdpack	2.5	
reactable	0.4.4	
reactR	0.4.4	
readMzXmlData	2.8.3	
readr	2.1.4	
readxl	1.4.3	
recipes	1.0.8	
registry	0.5-1	
rematch	2.0.0	
rematch2	2.1.2	
reprex	2.0.2	
reshape2	1.4.4	
Rgraphviz	2.44.0	
rhandsontable	0.3.8	
Rhdf5lib	1.22.1	
rJava	1.0-6	
rlang	1.1.1	
rmarkdown	2.25	
robustbase	0.99-0	
ROCR	1.0-11	
ropls	1.32.0	
rpart	4.1.19	
rprojroot	2.0.3	
rsm	2.10.4	
RSQLite	2.3.1	
rstudioapi	0.15.0	
rvest	1.0.3	
S4Arrays	1.0.6	
S4Vectors	0.38.2	
sass	0.4.7	
scales	1.2.1	
selectr	0.4-2	
seriation	1.5.1	
shape	1.4.6	
shiny	1.7.5	
shinyjs	2.1.0	
slam	0.1-50	
snow	0.4-4	
sourcetools	0.1.7-1	
sparsesvd	0.2-2	
splashR	0.0.4	174fbf289a0357535f9bacda282b9a2dbb7807cc
SQUAREM	2021.1	
stringi	1.7.12	
stringr	1.5.0	
styler	1.10.2	
SummarizedExperiment	1.30.2	
survival	3.5-7	
svglite	2.1.1	
sys	3.4.2	
systemfonts	1.0.4	
textshaping	0.3.6	
tibble	3.2.1	
tidyr	1.3.0	
tidyselect	1.2.0	
tidyverse	2.0.0	
timechange	0.2.0	
timeDate	4022.108	
tinytex	0.46	
TSP	1.2-4	
tzdb	0.4.0	
UpSetR	1.4.0	
utf8	1.2.3	
uuid	1.1-1	
vctrs	0.6.3	
vegan	2.6-4	
VennDiagram	1.7.3	
viridis	0.6.4	
viridisLite	0.4.2	
visNetwork	2.1.2	
vroom	1.6.3	
vsn	3.68.0	
webchem	1.3.0	
webshot	0.5.5	
withr	2.5.0	
xcms	3.22.0	
xfun	0.40	
XML	3.99-0.14	
xml2	1.3.5	
xtable	1.8-4	
XVector	0.40.0	
yaml	2.3.7	
zlibbioc	1.46.0	
